"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1966","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","39.7","","","","1"
"1967","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","31.1","","","","1"
"1968","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","36.8","","","","1"
"1969","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","39.7","","","","1"
"1970","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","41.3","","","","1"
"1971","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","43.0","","","","1"
"1972","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","41.4","","","","1"
"1973","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","39.3","","","","1"
"1974","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","34.3","","","","1"
"1975","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","39.6","","","","1"
"1976","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","44.9","","","","1"
"1977","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","46.2","","","","1"
"1978","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","45.3","","","","1"
"1979","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","42.3","","","","1"
"1980","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","45.2","","","","1"
"1981","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","46.6","","","","1"
"1982","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","50.4","","","","1"
"1983","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","43.8","","","","1"
"1984","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","41.9","","","","1"
"1985","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","48.5","","","","1"
"1986","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","56.1","","","","1"
"1987","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","51.8","","","","1"
"1988","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","45.8","","","","1"
"1989","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","46.3","","","","1"
"1990","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","55.2","","","","1"
"1991","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","51.2","","","","1"
"1992","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","54.1","","","","1"
"1993","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","58.0","","","","1"
"1994","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","53.1","","","","1"
"1995","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","55.5","","","","1"
"1996","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","59.2","","","","1"
"1997","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","53.5","","","","1"
"1998","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","55.3","","","","1"
"1999","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","60.3","","","","1"
"2000","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","55.0","","","","1"
"2001","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","48.6","","","","1"
"2002","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","41.5","","","","1"
"2003","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","51.4","","","","1"
"2004","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","60.8","","","","1"
"2005","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","59.7","","","","1"
"2006","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","55.2","","","","1"
"2007","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","51.2","","","","1"
"2008","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","62.5","","","","1"
"2009","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","60.6","","","","1"
"2010","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","59.2","","","","1"
"2011","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","61.1","","","","1"
"2012","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","53.9","","","","1"
"2013","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","71.1","","","","1"
"2014","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","61.0","","","","1"
"2015","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","65.2","","","","1"
"2016","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","72.5","","","","1"
"2017","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","69.4","","","","1"
"2018","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","65.0","","","","1"
"2019","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","70.8","","","","1"
"2020","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","71.1","","","","1"
"2021","Canada","2016A000011124","Average yield (bushels per acre)","Barley","Bushels per acre","43","units","0","v46469","1.2.6","43.0","","","","1"
"1908","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1909","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1910","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1911","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1912","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1913","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1914","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1915","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1916","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1917","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1918","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1919","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1920","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1921","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1922","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1923","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1924","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1925","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1926","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1927","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1928","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1929","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1930","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1931","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1932","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1933","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1934","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1935","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1936","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1937","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1938","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1939","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1940","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1941","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1942","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","","..","","","1"
"1943","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","13.8","","","","1"
"1944","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","11.3","","","","1"
"1945","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","13.4","","","","1"
"1946","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","11.0","","","","1"
"1947","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","7.5","","","","1"
"1948","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.0","","","","1"
"1949","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.0","","","","1"
"1950","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","5.0","","","","1"
"1951","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","18.5","","","","1"
"1952","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","15.0","","","","1"
"1953","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.6","","","","1"
"1954","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","14.4","","","","1"
"1955","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","11.3","","","","1"
"1956","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.0","","","","1"
"1957","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","14.0","","","","1"
"1958","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","12.4","","","","1"
"1959","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.7","","","","1"
"1960","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","14.6","","","","1"
"1961","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","15.8","","","","1"
"1962","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","15.8","","","","1"
"1963","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.5","","","","1"
"1964","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.7","","","","1"
"1965","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","15.7","","","","1"
"1966","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.9","","","","1"
"1967","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","15.2","","","","1"
"1968","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","18.4","","","","1"
"1969","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.6","","","","1"
"1970","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.8","","","","1"
"1971","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.9","","","","1"
"1972","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.5","","","","1"
"1973","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.8","","","","1"
"1974","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","16.2","","","","1"
"1975","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.9","","","","1"
"1976","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","20.8","","","","1"
"1977","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","24.2","","","","1"
"1978","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","22.1","","","","1"
"1979","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","17.9","","","","1"
"1980","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","21.3","","","","1"
"1981","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","23.5","","","","1"
"1982","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","22.4","","","","1"
"1983","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","20.0","","","","1"
"1984","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","19.8","","","","1"
"1985","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","22.4","","","","1"
"1986","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","25.7","","","","1"
"1987","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","25.6","","","","1"
"1988","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","20.4","","","","1"
"1989","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","19.8","","","","1"
"1990","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","23.0","","","","1"
"1991","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","24.0","","","","1"
"1992","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","22.7","","","","1"
"1993","Canada","2016A000011124","Average yield (bushels per acre)","Canola (rapeseed)","Bushels per acre","43","units","0","v47078","1.2.16","23.9","","","","1"
